title,price,taste,brand,description,spirit_style,state
A.D. Rattray Aberfeldy 18 Yr,99.99,None,A.D. Rattray," Highlands, Scotland- Pleasant aromas of caramel, cereal grain candied apple with hints of vanilla and almonds in the background. Flavors begin with sweet caramelized apples and stone fruits with hints of vanilla throughout. Finishes clean and dry. Try it neat on the rocks. Enjoy! ",Single Malt,Highland
A.D. Rattray Auchroisk 22 Yr,139.99,None,A.D. Rattray," Speyside, Scotland - This Auchroisk is quite perfumed with hints of lemon meringue, citrus, sandalwood and a light note of flowers. It is enjoyed with water, with ice, or with a mixer. ",Single Malt,
A.D. Rattray Aultmore 16 Year,97.99,None,A.D. Rattray," Speyside, Scotland- Aroma of honey, ripe fruits, pineapple, honeydew melon, spices and aniseed. A sweet buttery palate of vanilla fudge, bursting with fruit and apple tart. Enjoy on the rocks. ",Single Malt,
A.D. Rattray Ben Nevis 17Yr Single Cask Barrel Select,99.99, Delicate . Apple . Grass . Vanilla . Complex ,A.D. Rattray,,Single Malt,Highland
A.D. Rattray Benriach 23 Yr,179.99,None,A.D. Rattray," Speyside, Scotland- Rich aromas of honey and heather with baked apple and sweet nutty tones. The palate begins with the same sweetness of honey and heather followed by toasted oak, spice and anise. Enjoy this rich, full-bodied classic neat on the rocks! ",Single Malt,
A.D. Rattray Blair Athol 22 Yr,149.99,None,A.D. Rattray," Highlands, Scotland - Golden hues. To the nose, Menthol, lemon rind, and parsley. On the palate, Spices, herbs, wine, and lemon. The finish has herb and spice notes, It can be enjoyed neat, on the rocks, with water, or in a mixed drink. ",Single Malt,Highland
A.D. Rattray Cask Islay Single Malt,57.99,None,A.D. Rattray," Islay, Scotland- This limited edition blended malt whiskey of handpicked casks is youthful with character. It offers a smoky complexion of honey, oat and caramel flavors, and lime joins in the long lasting aftertaste. ",Single Malt,Islay & Islands
A.D. Rattray Craigellachie 14 yr Barrel Select,109.99,None,Craigellachie,,Single Malt,Speyside
A.D. Rattray Fettercairn 10Yr,76.99,None,A.D. Rattray," Scotland- NOSE: Wine gums, coconut water, orange peel and linseed. TASTE: Lime juice, pineapple and chocolate-coated strawberries. FINISH: Sharp, zesty and fresh as a Marlborough Sauvignon Blanc. ",Single Malt,Highland
A.D. Rattray Girvan 1964 50 Yr,899.99, Rich . Orange . Chocolate . Nut . Long ,A.D. Rattray," Lowlands, Scotland - This 50 year old expression is the first to be bottled as part of A.D. Rattray's Vintage Cask Collection. Only 255 bottles have been produced. Deep and exquisite aromas of orange peel, dark chocolate truffles, Brazil nuts, nutmeg, rich honey and coconut. Sip neat. ",Single Malt,Lowland
A.D. Rattray Glen Elgin 1995 21 Years,159.99,None,A.D. Rattray," Speyside, Scotland- Nose: Cut grass, fresh citrus and leather, then the merest hint of smoke. Taste: Waxy and mouth-coating, with barley sugars and honey to the fore. Finish: Green tea and finally oak. Gracefully aged, full of poise and balance. ",Single Malt,
A.D. Rattray Glen Elgin 1995 Single Barrel Select,119.99, Medium . Vanilla . Spice . Long ,A.D. Rattray," Speyside, Scotland- Bright gold color, with aromas of buttery vanilla and lime fruits. Flavors of dark chocolate, orange marmalade and sherry notes. Finishes sweet, with toffee and custard tones. Cask 1646, was hand selected by our local experts with limited bottles available. ",Single Malt,
A.D. Rattray Glen Moray 10 Yr Barrel Select,89.99,None,Glen Moray,,Single Malt,Speyside
A.D. Rattray Glenburgie 2001 13 Yr,88.99,None,A.D. Rattray," Speyside, Scotland - Aromas of honeysuckle blossom, backed apple and orange zest on the nose. The palate tastes of toasted malt, chocolate, and butterscotch with a warming finish. On the finish the spirit is transformed by a fresh sherry hogshead. Sip neat and enjoy. ",Single Malt,Speyside
A.D. Rattray Glencadam 22 Yr,169.99,None,A.D. Rattray," Highlands, Scotland- A gorgeous golden scotch with aromas of pineapple, gummy fruit and soft, malty oak. Flavors of sweet barley sugar and caramel cheesecake peak through into a pleasantly sweet finish. Try it neat on the rocks! Enjoy! ",Single Malt,Highland
A.D. Rattray Inchgower 17 Yr Barrel Select,149.99,None,A.D. Rattray,,Single Malt,Speyside
A.D. Rattray Knockadu 9 Yr Barrel Select,79.99,None,A.D. Rattray,,Single Malt,Highland
A.D. Rattray Stronachie 10 Yr,47.99,None,A.D. Rattray," Highlands, Scotland - Soft honey, earthy heather and malty sweetness on the nose. The palate is smooth with luscious honey and biscuits, then lingering pepper and cereal notes. The finish is perfectly balanced. Sip neat and enjoy. ",Single Malt,Highland
A.D. Rattray Stronachie 12yr,49.99, Peat . Nut ,A.D. Rattray," Highlands, Scotland- Slightly syrupy, malty, sweetness and a slight amount of peaty dryness are present in this firm whisky with firm palate and soothing finish and nut flavors. ",Single Malt,Highland
A.D. Rattray Stronachie 18 Yr,99.99,None,A.D. Rattray," Highlands, Scotland - A unique single malt bottling from the Benrinnes distillery under the stronachie label. Big, bold flavorful malt with a smokey tinge and rich spicy character. Finishes long and smooth with lingering oak. Enjoy neat. ",Single Malt,Highland
A.D. Rattray Tamdhu 24 yr,219.99,None,A.D. Rattray," Speyside, Scotland- Aromas of brine, citrus and sandalwood with smooth, buttery flavors of warm butterscotch and custard tones. The finish comes back full circle with notes of citrus and some maltiness for a very pleasant aftertaste. Enjoy on the rocks! ",Single Malt,Speyside
Aberfeldy 12 yo,32.99, Rich . Spice . Honey . Long ,Aberfeldy," Highlands, Scotland- Reserved as the heart of Dewar's blends, limited quantities of Aberfeldy single malt are now available. At 12 years old, Aberfeldy is noted for its heather honey nose, full body and rounded taste. The finish is elegant, with pronounced spice and hints of orange. ",Single Malt,Highland
Aberfeldy 16 Year,89.99,None,Aberfeldy," Scotland- Aberfeldy 16 Year Old was released in 2015 as part of The Last Great Malts series. Matured in a combination of bourbon and sherry casks, this has lovely balance between sweetness and spiciness. ",Single Malt,
Aberfeldy 21 yo,149.99, Rich . Spice . Wood . Long ,Aberfeldy," Highlands, Scotland- 21 years of aging has added dignity to Aberfeldy's distinctive heather honey softness. The taste lingers like a fine liqueur with its long, dry finish enhanced by notes of mature Seville oranges, spices, vanilla and sandalwood. Sip and savor this exclusive whisky. ",Single Malt,Highland
Aberlour 12 Yr,39.99, Rich . Fruit . Vanilla . Balanced ,Aberlour," Speyside, Scotland- Matured in bourbon and sherry casks. Soft and rounded with notes of apple and other orchard fruit. Sherry and fruity aromas balanced with rich chocolate, toffee, cinnamon, and ginger. Warm, lingering finish. DOUBLE GOLD-2016 SAN FRANCISCO WORLD SPIRITS COMPETITION. ",Single Malt,Speyside
Aberlour 12 Yr Non-Chilled Filtered,87.99,None,Aberlour," Speyside, Scotland- Aged in bourbon and sherry casks. Aromas are soft with cereal grains and honeysuckle. Rich on the palate with ripe stone fruit, thick cinnamon spice and dark toffee. Smooth and fine-grained. Long, smooth finish. 92pts. - 2014 ULTIMATE SPIRITS ",Single Malt,Speyside
Aberlour 16 Yr,59.99, Delicate . Sherry . Spice . Mild ,Aberlour," Speyside, Scotland- Aged in bourbon and sherry casks. A toasty nose with aromas of hazelnut, toffee and sugar cookies. Spicy palate with plenty of cinnamon, nutmeg, toasted oats and vanilla accents. Long finish. CHAIRMAN'S TROPHY FINALIST 97pts - 2016 ULTIMATE SPIRITS CHALLENGE. ",Single Malt,
