,title,price,avg_rating,taste,score,brand,description,spirit_style,state,taste_list
442,Clynelish Distillers Edition,119.97,-1.0,None,-1,Clynelish," Highlands, Scotland- With a fruit cake-like richness, the sweetness develops into a lovely sherry finish with a honeycomb background that finishes smoothly with a lingering sweetness. Try it on the rocks. ",Single Malt,,['none']
443,Clynelish Select Reserve,929.99,-1.0, Medium . Orange . Maple . Dried Fruit . Long ,-1,Clynelish," Highlands, Scotland- Bright orange fruit dominates at the start, and then the whisky becomes quite drying and almost dusty on the finish. Water coaxes out more of the sweeter side of the spirit, with nougat, golden syrup, and maple notes all criss-crossing over the palate. ",Single Malt,Highland,"[' medium', 'orange', 'maple', 'dried fruit', 'long ']"
444,Compass Box 3 Yr Old Delux,279.99,-1.0,None,-1,Compass Box," Scotland- A limited edition blended malt from the esteemed Compass Box, made with three different malt whiskies. The rich vanilla notes, waxiness and decadent baked orchard fruit notes from the larger parcel of Highland malt whisky provide a beautiful platform for the peaty malt whisky ",Blended Scotch,,['none']
445,Compass Box Asyla,55.99,5.0, Rich . Grain . Vanilla . Tropical Fruit . Long ,93,Compass Box," Wine Enthusiast -Speyside, Scotland- ""Offers unusual aromas of pear drop, banana and kiwi; aeration stimulates scents of sunflower seeds, orange zest and grain mash. Flavor phase is strikingly rich, oily in texture."" Blended 12 year old Linkwood (Speyside) and and 2 Lowlands grain whiskies. Limited. ",,,"[' rich', 'grain', 'vanilla', 'tropical fruit', 'long ']"
446,Compass Box Delilah's,99.99,-1.0,None,-1,Compass Box," Speyside, Scotland - It is an intense yet subtly complex Scotch whisky aged in a mix of experimental new American oak barrels and oak hogsheads. This bestows it with a lovely, intense richness, vanilla character and sweetness. It has been created to be perfect served as a shot. ",,,['none']
447,Compass Box Double Single,159.99,-1.0,None,-1,Compass Box," Scotland- In The Double Single we have combined single malt whisky from the Glen Elgin distillery and single grain whisky from the Girvan distillery. The elegantly complex, ethereal malt whisky character is balanced on a decadent cushion of rich, sweet, vanilla grain whisky character. ",Blended Scotch,,['none']
448,Compass Box Flaming Heart,114.99,-1.0,None,-1,Compass Box," Highlands, Scotland- A big, bold malt whisky that combines peaty smokiness with the richness of French oak aging. Each batch undergoes a secondary maturation process in new French oak to add layers of rich complexity. ",Blended Scotch,,['none']
449,Compass Box Great King Street Artist's Blend,27.99,4.3, Delicate . Vanilla . Spice . Balanced ,91,Compass Box," Whisky Advocate-Lowlands, Scotland - Whisky Advocate 91 points. A signature blend with of sweet vanilla cream, stewed pear tart, and peach melba, with waves of spice and white pepper providing an unexpected but delightful twist. Enjoy neat or on the rocks. ",,,"[' delicate', 'vanilla', 'spice', 'balanced ']"
450,Compass Box Great King Street Artist's Blend Barrel Select,54.99,-1.0, Delicate . Vanilla . Spice . Balanced ,-1,Compass Box," Scotland- A signature blend with sweet vanilla cream, stewed pear, and peach notes, accented by slight waves of spice. This hand-selected expression was finished in French Oak and has a buttery mouthfeel. ",Blended Scotch,,"[' delicate', 'vanilla', 'spice', 'balanced ']"
451,Compass Box Great King Street Clynelish Barrel Select,54.99,-1.0, Delicate . Spice . Vanilla . Dried Fruit . Balanced ,-1,Compass Box, Scotland- This hand-selected expression is a very delicate offering of vanilla and spice. Subtle dried fruit notes and a balanced mouthfeel throughout. Long and pleasing finish. ,Blended Scotch,,"[' delicate', 'spice', 'vanilla', 'dried fruit', 'balanced ']"
452,Compass Box Great King Street Glasgow,39.99,4.5,None,-1,Compass Box," Scotland- Big whisky nose with malty, sweet sherry aromas and peaty smoke with a hint of wine. On the palate, mossy dry oak mix with sweet autumn fruits and nuts. Finishes long and luscious. ",Blended Scotch,,['none']
